id_deputado,nome,partido,uf,uri
220546,Rodolfo Nogueira,PL,MS,https://dadosabertos.camara.leg.br/api/v2/deputados/220546
230767,Rodrigo da Zaeli,PL,MT,https://dadosabertos.camara.leg.br/api/v2/deputados/230767
141531,Rodrigo de Castro,UNIÃO,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/141531
223128,Rodrigo Estacho,PSD,PR,https://dadosabertos.camara.leg.br/api/v2/deputados/223128
220641,Rodrigo Gambale,PODE,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/220641
141533,Rodrigo Rollemberg,PSB,DF,https://dadosabertos.camara.leg.br/api/v2/deputados/141533
165470,Rodrigo Valadares,UNIÃO,SE,https://dadosabertos.camara.leg.br/api/v2/deputados/165470
220695,Rogéria Santos,REPUBLICANOS,BA,https://dadosabertos.camara.leg.br/api/v2/deputados/220695
204480,Rogério Correia,PT,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/204480
160629,Romero Rodrigues,PSC,PB,https://dadosabertos.camara.leg.br/api/v2/deputados/160629
163321,Ronaldo Nogueira,REPUBLICANOS,RS,https://dadosabertos.camara.leg.br/api/v2/deputados/163321
204525,Rosana Valle,PL,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/204525
178945,Rosangela Gomes,REPUBLICANOS,RJ,https://dadosabertos.camara.leg.br/api/v2/deputados/178945
220644,Rosangela Moro,UNIÃO,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/220644
220620,Rosângela Reis,PL,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/220620
73806,Roseana Sarney,MDB,MA,https://dadosabertos.camara.leg.br/api/v2/deputados/73806
74371,Rubens Otoni,PT,GO,https://dadosabertos.camara.leg.br/api/v2/deputados/74371
178887,Rubens Pereira Júnior,PT,MA,https://dadosabertos.camara.leg.br/api/v2/deputados/178887
73604,Rui Falcão,PT,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/73604
160635,Ruy Carneiro,PSC,PB,https://dadosabertos.camara.leg.br/api/v2/deputados/160635
204535,Sâmia Bomfim,PSOL,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/204535
233598,Samuel dos Santos,PSC,GO,https://dadosabertos.camara.leg.br/api/v2/deputados/233598
220631,Samuel Viana,PL,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/220631
204416,Sanderson,PL,RS,https://dadosabertos.camara.leg.br/api/v2/deputados/204416
160621,Sandro Alex,PSD,PR,https://dadosabertos.camara.leg.br/api/v2/deputados/160621
204387,Sargento Fahur,PSD,PR,https://dadosabertos.camara.leg.br/api/v2/deputados/204387
220621,Sargento Gonçalves,PL,RN,https://dadosabertos.camara.leg.br/api/v2/deputados/220621
220618,Sargento Portugal,PODE,RJ,https://dadosabertos.camara.leg.br/api/v2/deputados/220618
220713,Saullo Vianna,UNIÃO,AM,https://dadosabertos.camara.leg.br/api/v2/deputados/220713
226837,Saulo Pedroso,PSD,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/226837
73808,Sérgio Brito,PSD,BA,https://dadosabertos.camara.leg.br/api/v2/deputados/73808
77003,Sergio Santos Rodrigues,PODE,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/77003
178933,Sergio Souza,MDB,PR,https://dadosabertos.camara.leg.br/api/v2/deputados/178933
235776,Sérgio Turra,PP,RS,https://dadosabertos.camara.leg.br/api/v2/deputados/235776
204557,Sidney Leite,PSD,AM,https://dadosabertos.camara.leg.br/api/v2/deputados/204557
74356,Silas Câmara,REPUBLICANOS,AM,https://dadosabertos.camara.leg.br/api/v2/deputados/74356
204360,Silvia Cristina,PL,RO,https://dadosabertos.camara.leg.br/api/v2/deputados/204360
220579,Silvia Waiãpi,PL,AP,https://dadosabertos.camara.leg.br/api/v2/deputados/220579
227310,Silvio Antonio,PL,MA,https://dadosabertos.camara.leg.br/api/v2/deputados/227310
204425,Silvio Costa Filho,REPUBLICANOS,PE,https://dadosabertos.camara.leg.br/api/v2/deputados/204425
220569,Silvye Alves,UNIÃO,GO,https://dadosabertos.camara.leg.br/api/v2/deputados/220569
220651,Simone Marquetto,MDB,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/220651
104552,Socorro Neri,PP,AC,https://dadosabertos.camara.leg.br/api/v2/deputados/104552
222565,Soldado Noelio,UNIÃO,CE,https://dadosabertos.camara.leg.br/api/v2/deputados/222565
220643,Sônia Guajajara,PSOL,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/220643
220575,Sonize Barbosa,PL,AP,https://dadosabertos.camara.leg.br/api/v2/deputados/220575
178946,Soraya Santos,PL,RJ,https://dadosabertos.camara.leg.br/api/v2/deputados/178946
178947,Sóstenes Cavalcante,PL,RJ,https://dadosabertos.camara.leg.br/api/v2/deputados/178947
92776,Stefano Aguiar,PSD,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/92776
204534,Tabata Amaral,PSB,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/204534
230177,Tadeu Oliveira,PL,CE,https://dadosabertos.camara.leg.br/api/v2/deputados/230177
220682,Tadeu Veneri,PT,PR,https://dadosabertos.camara.leg.br/api/v2/deputados/220682
204464,Talíria Petrone,PSOL,RJ,https://dadosabertos.camara.leg.br/api/v2/deputados/204464
220598,Tarcísio Motta,PSOL,RJ,https://dadosabertos.camara.leg.br/api/v2/deputados/220598
220552,Tenente Coronel Zucco,REPUBLICANOS,RS,https://dadosabertos.camara.leg.br/api/v2/deputados/220552
220560,Thiago de Joaldo,PP,SE,https://dadosabertos.camara.leg.br/api/v2/deputados/220560
220597,Thiago Flores,MDB,RO,https://dadosabertos.camara.leg.br/api/v2/deputados/220597
143084,Tiago Dimas,PODE,TO,https://dadosabertos.camara.leg.br/api/v2/deputados/143084
220684,Tião Medeiros,PP,PR,https://dadosabertos.camara.leg.br/api/v2/deputados/220684
160976,Tiririca,PL,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/160976
178934,Toninho Wandscheer,PROS,PR,https://dadosabertos.camara.leg.br/api/v2/deputados/178934
157130,Túlio Gadêlha,REDE,PE,https://dadosabertos.camara.leg.br/api/v2/deputados/157130
223398,Ulisses Guimarães,MDB,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/223398
160610,Valmir Assunção,PT,BA,https://dadosabertos.camara.leg.br/api/v2/deputados/160610
74376,Vander Loubet,PT,MS,https://dadosabertos.camara.leg.br/api/v2/deputados/74376
234673,Vanderlan Alves,UNIÃO,CE,https://dadosabertos.camara.leg.br/api/v2/deputados/234673
235712,Vavá,AVANTE,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/235712
204396,Vermelho,PL,PR,https://dadosabertos.camara.leg.br/api/v2/deputados/204396
74283,Vicentinho,PT,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/74283
137070,Vicentinho Júnior,PP,TO,https://dadosabertos.camara.leg.br/api/v2/deputados/137070
141555,Vinicius Carvalho,REPUBLICANOS,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/141555
160591,Vinicius Gurgel,PL,AP,https://dadosabertos.camara.leg.br/api/v2/deputados/160591
178992,Vitor Lippi,PSDB,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/178992
91228,Waldemar Oliveira,AVANTE,PE,https://dadosabertos.camara.leg.br/api/v2/deputados/91228
160569,Waldenor Pereira,PT,BA,https://dadosabertos.camara.leg.br/api/v2/deputados/160569
220601,Washington Quaquá,PT,RJ,https://dadosabertos.camara.leg.br/api/v2/deputados/220601
160518,Weliton Prado,PROS,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/160518
74043,Wellington Roberto,PL,PB,https://dadosabertos.camara.leg.br/api/v2/deputados/74043
224333,Welter,PT,PR,https://dadosabertos.camara.leg.br/api/v2/deputados/224333
74044,Wilson Santiago,REPUBLICANOS,PB,https://dadosabertos.camara.leg.br/api/v2/deputados/74044
182146,Wolmer Araújo,PATRIOTA,MA,https://dadosabertos.camara.leg.br/api/v2/deputados/182146
220564,Yandra Moura,UNIÃO,SE,https://dadosabertos.camara.leg.br/api/v2/deputados/220564
220660,Yury do Paredão,PL,CE,https://dadosabertos.camara.leg.br/api/v2/deputados/220660
230768,Zé Adriano,PP,AC,https://dadosabertos.camara.leg.br/api/v2/deputados/230768
220536,Zé Haroldo Cathedral,PSD,RR,https://dadosabertos.camara.leg.br/api/v2/deputados/220536
204559,Zé Neto,PT,BA,https://dadosabertos.camara.leg.br/api/v2/deputados/204559
160632,Zé Silva,SOLIDARIEDADE,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/160632
220558,Zé Trovão,PL,SC,https://dadosabertos.camara.leg.br/api/v2/deputados/220558
204517,Zé Vitor,PL,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/204517
160592,Zeca Dirceu,PT,PR,https://dadosabertos.camara.leg.br/api/v2/deputados/160592
220592,Zezinho Barbary,PP,AC,https://dadosabertos.camara.leg.br/api/v2/deputados/220592
